"row ID","First(compound_chembl_id)","First(standard_type)","First*(standard_value)","First(standard_units)","First(target_chembl_id)","First(organism)","First(pref_name)","a_acc","a_acid","a_aro","a_base","a_count","a_don","a_donacc","a_heavy","a_hyd","a_nB","a_nBr","a_nC","a_nCl","a_nF","a_nH","a_nI","a_nN","a_nO","a_nP","a_nS","b_1rotN","b_1rotR","b_ar","b_count","b_double","b_heavy","b_rotN","b_rotR","b_single","b_triple","chiral","chiral_u","FCharge","h_logD","h_logP","h_logS","h_mr","KierFlex","lip_acc","lip_don","lip_druglike","lip_violation","mutagenic","reactive","rings","TPSA","vdw_area","vdw_vol","vsa_acc","vsa_don","vsa_hyd","Weight","SMI (Canonical)"
"Row229063_Row260855_Row229563_Row229063","CHEMBL3655096","IC50",597.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,9,0,50,3,9,26,14,0,0,17,0,0,24,0,6,2,0,1,6,0.2,10,54,0,30,6,0.2,44,0,0,0,0,-1.1070559,-1.0877303,-2.5894339,10.026402,3.7296762,8,2,1,0,0,0,5,94.220001,336.55511,473.84393,37.6991,8.0752068,200.33224,376.48499,"CN(c1ncnc2[nH]ccc12)C1CC(NS(=O)(=O)C2CN(C3CC3)C2)C1"
"Row230027_Row303250_Row230527_Row230027","CHEMBL3642390","IC50",144.8,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,17,0,69,2,7,37,24,0,0,26,0,0,32,0,8,2,0,1,8,0.19512194,17,73,2,41,8,0.19512194,54,0,0,0,0,1.430688,2.9973211,-6.1236091,14.697192,5.7473044,10,2,1,1,0,0,5,98.629997,531.03571,693.29004,47.12014,11.365152,408.07217,520.66199,"CN1CCN(c2ccc(Nc3nc4c(NCc5cccc(N(C)S(C)(=O)=O)c5)cccn4n3)cc2)CC1"
"Row230093_Row319927_Row230593_Row230093","CHEMBL1934340","IC50",0.09,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,17,0,69,2,8,38,24,0,0,27,0,0,31,0,7,3,0,1,7,0.16666667,17,73,3,42,8,0.19047619,53,0,0,0,0,2.6907303,3.2504091,-6.3529038,14.930893,5.8375907,10,3,1,1,0,0,5,125.39,522.9519,699.37939,60.687061,23.425066,349.30826,533.65698,"CN(c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O"
"Row230328_Row319919_Row230828_Row230328","CHEMBL1934352","IC50",3.6,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,17,0,72,2,8,39,25,0,0,28,0,0,33,0,7,3,0,1,7,0.1627907,17,76,3,43,8,0.18604651,56,0,0,0,0,2.9625924,3.5223444,-6.6159496,15.385767,6.0642982,10,3,1,1,0,0,5,125.39,540.18396,723.80853,60.687061,23.425066,365.11673,547.68402,"Cc1cc(-c2ccccc2N(C)S(C)(=O)=O)n2nc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)ncc12"
"Row230334_Row302622_Row230834_Row230334","CHEMBL1923582","IC50",1.1,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,17,0,64,1,6,36,24,0,0,25,1,0,28,0,7,2,0,1,5,0.125,17,68,2,40,6,0.15000001,49,0,0,0,0,2.841141,4.383965,-7.0579619,14.337869,5.7930694,9,1,1,1,0,0,5,85.540001,513.64709,668.52966,47.12014,5.6825762,392.46591,526.065,"CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2Cl)CC1"
"Row230335_Row302623_Row230835_Row230335","CHEMBL1923581","IC50",3.7,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,17,0,64,1,6,36,24,0,0,25,0,1,28,0,7,2,0,1,5,0.125,17,68,2,40,6,0.15000001,49,0,0,0,0,2.3937907,3.798033,-6.524868,13.963393,5.262598,9,1,1,1,0,0,5,85.540001,500.47488,655.716,47.12014,5.6825762,379.2937,509.60999,"CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2F)CC1"
"Row230336_Row319921_Row230836_Row230336","CHEMBL1934336","IC50",2.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,17,0,69,2,8,38,24,0,0,27,0,0,31,0,7,3,0,1,7,0.16666667,17,73,3,42,8,0.19047619,53,0,0,0,0,2.717066,3.2768202,-6.3744388,14.931379,5.8375907,10,3,1,1,0,0,5,125.39,522.9519,699.37939,60.687061,23.425066,349.30826,533.65698,"CN(c1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O"
"Row230338_Row302617_Row230838_Row230338","CHEMBL1923591","IC50",480.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,17,0,64,1,6,36,24,0,0,25,1,0,28,0,7,2,0,1,5,0.125,17,68,2,40,6,0.15000001,49,0,0,0,0,2.8502264,4.4026985,-7.0705004,14.338483,5.7930694,9,1,1,1,0,0,5,85.540001,513.64709,668.52966,47.12014,5.6825762,392.46591,526.065,"CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)c(Cl)c2)CC1"
"Row230436_Row319922_Row230936_Row230436","CHEMBL1934344","IC50",2.1,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,17,0,68,2,9,38,22,0,0,26,0,0,30,0,8,3,0,1,7,0.16666667,17,72,3,42,8,0.19047619,52,0,0,0,0,2.0616906,2.6237817,-6.0933084,14.810734,5.7960906,11,3,0,2,0,0,5,138.28,521.09619,690.30383,66.369637,23.425066,331.29123,534.64502,"CN(c1ncccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O"
"Row232950_Row447571_Row233450_Row232950","CHEMBL3903970","IC50",350.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,25,0,71,4,9,42,31,0,0,33,1,0,29,0,4,4,0,0,4,0.08510638,27,76,3,47,4,0.08510638,46,0,0,0,0,7.2898998,7.4838328,-9.3428841,16.391941,4.8510389,8,4,0,2,1,0,6,120.72,544.41846,761.14905,27.133842,5.6825762,390.39496,581.07196,"Cc1c(-c2c(Cl)cc(C(=N)O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)c2cccc(C)c2n(C)c1=O"
"Row232962_Row447572_Row233462_Row232962","CHEMBL3903416","IC50",710.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,25,0,65,4,9,42,31,0,0,31,2,1,23,0,4,4,0,0,4,0.08510638,27,70,3,47,4,0.08510638,40,0,0,0,0,7.8135581,8.0059233,-9.8189955,15.97552,5.1741614,8,4,0,2,1,0,6,120.72,531.94489,731.38885,27.133842,5.6825762,382.19217,605.453,"Cn1c(=O)n(-c2cccc(-c3c(Cl)cc(C(=N)O)c4[nH]c5cc(C(C)(C)O)ccc5c34)c2Cl)c(=O)c2cccc(F)c21"
"Row238139_Row443194_Row238639_Row238139","CHEMBL3969424","Ki",1.29,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,62,1,9,39,24,0,0,25,1,2,23,0,8,3,0,0,8,0.18181819,16,67,4,44,8,0.18181819,47,0,0,0,0,2.4485326,3.5428119,-6.7192116,14.066044,5.2119994,11,1,0,2,0,0,6,113.37,503.22455,656.23676,46.277908,0.0,365.80627,556.961,"CN1CC2(C1)CN(C(=O)Cn1cc(N=C(O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n1)C2"
"Row238148_Row443120_Row238648_Row238148","CHEMBL3921334","Ki",1.68,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,65,1,9,40,25,0,0,26,1,2,25,0,8,3,0,0,8,0.17777778,16,70,4,45,8,0.17777778,50,0,0,0,0,2.173955,3.6839383,-6.8894968,14.520442,5.5936589,11,1,0,2,0,0,6,113.37,520.4566,680.66595,46.277908,0.0,381.61478,570.98798,"CN1CC2(CCN(C(=O)Cn3cc(N=C(O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)C2)C1"
"Row238149_Row443119_Row238649_Row238149","CHEMBL3957787","Ki",3.08,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,68,1,9,41,26,0,0,27,1,2,27,0,8,3,0,0,8,0.17391305,16,73,4,46,8,0.17391305,53,0,0,0,0,2.0628448,3.9030948,-7.0929742,14.974835,5.9871855,11,1,0,2,0,0,6,113.37,537.68872,705.09509,46.277908,0.0,397.42328,585.01501,"CN1CC2(CCN(C(=O)Cn3cc(N=C(O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)C1"
"Row238239_Row443212_Row238739_Row238239","CHEMBL3909568","Ki",0.28,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,67,2,10,41,24,0,0,26,1,2,26,0,9,3,0,0,8,0.17391305,16,72,4,46,8,0.17391305,52,0,2,2,0,1.4031749,3.0109367,-6.574213,14.882177,5.8222051,12,3,0,2,1,0,6,139.39,525.82373,695.33728,46.277908,17.742489,349.92386,586.00299,"CN1CC2CN(C(=O)Cn3cc(N=C(O)c4c(N)nn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2C1"
"Row238348_Row443260_Row238848_Row238348","CHEMBL3926957","Ki",2.09,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,16,0,61,1,8,37,25,0,0,25,1,2,24,0,7,2,0,0,7,0.17073171,16,65,4,41,7,0.17073171,45,0,0,0,0,2.4005673,4.510345,-6.9692054,13.680837,5.9561634,9,1,0,2,0,0,5,93.059998,486.4549,645.14941,32.710987,0.0,374.84131,527.96301,"CN1CCC(=CCn2cc(N=C(O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1"
"Row238602_Row404109_Row239102_Row238602","CHEMBL1290534","IC50",540.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",3,0,10,0,50,1,4,27,20,0,0,21,0,1,23,0,4,1,0,0,3,0.096774191,11,54,2,31,3,0.096774191,41,0,0,0,0,0.23281516,2.426621,-4.6010146,10.319966,3.0868907,5,1,1,0,0,0,5,48.470001,336.72467,493.78577,19.249496,5.6825762,268.91968,366.44,"CN1CCC(N(c2nc3cc[nH]c(=O)c3c3cc(F)ccc23)C2CC2)CC1"
"Row238870_Row328148_Row239370_Row238870","CHEMBL3649611","IC50",1.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",3,0,19,0,58,3,6,34,27,0,0,25,0,3,24,0,5,1,0,0,4,0.10526316,21,62,1,38,5,0.13157895,40,0,0,0,0,1.427001,3.8472157,-6.0601239,12.500864,4.0973315,6,4,1,1,1,0,5,87.040001,414.22217,593.13745,19.249496,29.107641,326.38629,467.495,"CN1CCC(Nc2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cccc(C(F)(F)F)c4)nc23)CC1"
"Row238895_Row288751_Row239395_Row238895","CHEMBL3665201","IC50",0.1084,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,15,0,65,4,12,34,19,0,0,22,0,0,31,0,9,2,0,1,6,0.15789473,16,69,0,38,6,0.15789473,53,0,1,1,0,-2.7870436,-0.54910362,-3.8870785,13.259266,5.7883058,11,3,1,1,0,0,5,132.03,464.54285,625.27905,49.064251,11.365152,315.42972,485.617,"CN1CCC(Nc2ncc(-c3cnc4[nH]ccc4n3)c(NC3CCCN(S(C)(=O)=O)C3)n2)CC1"
"Row239333_Row443264_Row239833_Row239333","CHEMBL3984799","Ki",0.23,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",9,0,21,0,66,1,10,41,26,0,0,26,1,2,25,0,10,2,0,0,8,0.17391305,21,71,3,46,8,0.17391305,47,0,0,0,0,2.145417,3.7446477,-7.255404,15.019415,6.0492182,12,1,0,3,0,0,6,123.77,525.42877,696.76685,55.291531,0.0,390.52286,583.00299,"CN1CCC(n2cc(Cn3cc(N=C(O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)nn2)CC1"
